# CARAS,CIUDAD,MUNICIPIO,CLAVE,VISTA,DIRECCION,TIPO,BASE,ALTURA,LONGITUD ,LATITUD,TARIFA PUBLICO, IMPRESION, INSTALACION, PROVEEDOR, TELÉFONO PROVEEDOR ,
,DURANGO,DURANGO,15507,SUR,LÁZARO CÁRDENAS LIBERTAD 508,AZOTEA,10.5,7.32,-104.654053,24.033819,"$16,537.50",,,RENTABLE,,
,DURANGO,DURANGO,15510,ORIENTE,DE LA JUVENTUD 707,UNIPOLAR,12.9,7.32,-104.632128,24.03265,"$16,537.50",,,RENTABLE, ,
,DURANGO,DURANGO,15511,PONIENTE,DE LA JUVENTUD 707,UNIPOLAR,12.9,7.32,-104.632128,24.03265,"$16,537.50",,,RENTABLE, ,
,COLIMA,COLIMA,14001,SUR,CARLOS DE LA MADRID BEJAR  600 (596),UNIPOLAR,12.9,7.32,-103.7230455,19.2262279,"$19,018.13",,,RENTABLE, ,
,COLIMA,COLIMA,14002,NORTE,CARLOS DE LA MADRID BEJAR  600 (596),UNIPOLAR,12.9,7.32,-103.7230455,19.2262279,"$19,018.13",,,RENTABLE,,
,EDO. DE MÉXICO,ATIZAPAN DE ZARAGOZA,2038,,BOULEVARD CUAUTITLAN IZCALLI 19 DE MARZO  ,AZOTEA,12.9,7.32,-99.23223057,19.58721282,"$28,750.00",,,RENTABLE,,
,EDO. DE MÉXICO,ATIZAPAN DE ZARAGOZA,2560,PONIENTE,ADOLFO LOPEZ MATEOS  48,PISO,12.9,7.32,-99.25040703,19.56249107,"$28,750.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN ,2470,NORTE,PERIFERICO AUTOPISTA MEXICO QUERETARO FTE. A PERINORTE UNIPOLAR 1 ,UNIPOLAR,12.9,7.32,-99.18881742,19.60455122,"$43,125.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN ,2473,SUR,PERIFERICO AUTOPISTA MEXICO QUERETARO FTE. A PERINORTE 2o. UNIPOLAR ,UNIPOLAR,12.9,7.32,-99.18904863,19.60589515,"$40,250.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2007,NORTE,PERIFERICO NORTE A. M. QRO. PUENTE DE LA FORD  ,UNIPOLAR,12.9,7.32,-99.1962183,19.64430081,"$43,125.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2008,SUR,PERIFERICO NORTE A. M. QRO. PUENTE DE LA FORD  ,UNIPOLAR,12.9,7.32,-99.1962183,19.64430081,"$43,125.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2009,NORTE,PERIFERICO NORTE A. M. QRO. ADELANTE PUENTE TEPALCAPA  ,UNIPOLAR,12.9,7.32,-99.19233568,19.6215389,"$43,125.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2010,SUR,PERIFERICO NORTE A. M. QRO. ADELANTE PUENTE TEPALCAPA  ,UNIPOLAR,12.9,7.32,-99.19233568,19.6215389,"$43,125.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2013,NORTE,PERIFERICO NORTE A. M. QRO KM 29.4 ,UNIPOLAR,12.9,7.32,-99.19647359,19.59731745,"$35,937.50",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2014,SUR,PERIFERICO NORTE A. M. QRO. LA QUEBRADA KM 29.4 ,UNIPOLAR,12.9,7.32,-99.19647359,19.59731745,"$35,937.50",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2023,NORTE,PERIFERICO NORTE A. M. QRO. ENTRADA STA. MARIA GUADALUPE KM 28.5 ,UNIPOLAR,12.9,7.32,-99.20132685,19.59098131,"$35,937.50",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2024,SUR,PERIFERICO NORTE A. M. QRO. ENTRADA STA. MARIA GUADALUPE KM 28.5 ,UNIPOLAR,12.9,7.32,-99.20132685,19.59098131,"$40,250.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2117,NORTE,PERIFERICO NORTE A. M. QRO. KM 29.5  ENTRADA ´PUNTA NORTE,UNIPOLAR,12.9,14.64,-99.20212165,19.59525688,"$80,500.00",,,RENTABLE,,
,EDO. DE MÉXICO,CUAUTITLAN IZCALLI,2118,SUR,PERIFERICO NORTE A. M. QRO. KM 29.5  ENTRADA ´PUNTA NORTE,UNIPOLAR,12.9,14.64,-99.20212165,19.59525688,"$92,000.00",,,RENTABLE,,
